上联,下联
把酒言欢无去意,剪烛论道忘归期
山光凝翠影,树色抱清阴
梅绘新春景,猴登俊德门
花窗午篆清，灰暖香融消永昼,藻涧蟾光动，淡烟疏雨冷黄昏
古今学术藏满架,中外精华荟一堂
窗前可是家乡月,日本无非武大郎
两千年香阵冲天，岭南有幸，醉了木棉醉了市,数十里繁花似锦，盛况空前，阅尽风信阅尽春
一路山花迎佛祖,满杯美酒敬仙翁
雪花席卷漫天下,霜露凝珠草怀中
小玉聪狂，乳名郑重,谢娘风格，眉样蹉跎
拙到尽处见奇巧,意臻淡时归自然
西窗烛渐短,夜雨帕犹湿
龙降人间瑞,风和宇内清
玉种兰田千秋庆,丝牵绣暮百载缘
江东霸气随流水,冀北春风苏冷梅
诗兴久违，浮华累笔，春光万象难留卷,豪情不减，锦绣在心，山色千娇总牵思
何事秋风恼,竹送环佩来
节俭持家，博爱当家，衣上穿针常记得,慈颜待子，亲身教子，人前育我初长成
客自五洲来，五洲云客都是客,家在万里外，万里有家此亦家
文到白描臻化境,武达心御乃神功
乍若非秋上心头，怎惹悲愁,三寸古丁要人陪，仨付估仃
满园残留游子意,空山夕照浪人心
奇书在抱尘嚣隔,有酒盈樽天地宽
竹影摇窗催早读,春风得意结良缘
一脉心香擒入笔,千杯月色醉成诗
空蒙一色芦花荡,浓郁满坡竹叶青
白马高淡去,青牛真气来
是处合安闲，把碗还希招陆羽,此间宜放荡，倾觞不必效刘伶
心横敢闯閰王殿,胆小难过娘子关
喜看南国花繁，红透洞庭波映日,紧握楚天笔健，才追潘岳气凌云
菊花饮、茨实粥，枸杞菟丝明耳目,益气汤、生脉散，八珍六味养心神
夜总会使人迷醉,缘只能来日方长
改革潮流推国富,竞争鼓角励人勤
计有机关多对策,心无打算少良谋
吃东西，闯南北，会四面八方客,吟风月，赏雪花，做一个孤芳人
天生绿叶圆人梦,井沏红茶富瑶民
蟾宫折桂凭高手,竹院敲诗任雅心
惨淡经营任仔肩，社中巨擘,淋漓刻画推高手，场上魁元
燃情荆地，和风送暖，听万里飞歌，朝阳种业欣翔凤,极目楚天，丽日流金，看千川泻玉，活力公司喜竞龙
春风又在弦端绿,蝶梦已从花底苏
对语常新，春自玉风文旦绿,联花正艳，秋来环岛石榴红
三羊开泰千秋岁,九曲飞歌五福堂
马伴新风迎曙色,羊衔彩带舞春潮
中天翔凤翮,高树乱蝉声
共对一樽酒,相看万里人
揽胜奥区，千古名山钦独秀,招财宝地，万方嘉宾聚新城
和中期一统,同祖庆三春
俯瞰千山，浮云脚下悠悠去,笑观万象，烦事心中寂寂消
满案清光，满岸清风，神怡佛寺安思返,一湖好水，一壶好酒，心醉东江胡不归
风停雨住鱼穿月,草长莺飞蝶恋花
胜局既开，三十春秋花烂熳,层楼更上，万千志士气昂扬
知秋莫若寒蝉影,惬意当如仲夏风
当歌对酒，曹丞相几痴乔家凤,火眼金睛，孙悟空三打白骨精
数行墨影描心景,一片红云上脸庞
谁坐长亭外？有冰弦似水,我寻山月来，这寂寞如诗
忍无可忍何须忍,清自能清必定清
细观子路,着意颜回
米,茶
万众登楼，赏月观风忧广厦，功德多由时造化,千家注杜，隔靴搔痒诵骚经，文章自是血书成
五字若教易,一名争得难
抚槛忆前朝，楼引渭河千舸竞,披襟瞻大野，钟惊秦岭万云飞
叶鞘细韧织精品,枝干挺拔效鬼雄
深闱锁闭犹疑惑,绝代容华无比方
谁俾九天散绮？教瘴去瘟除，公称鼻祖,心知四海逢时，趁政熙民乐，我拜先师
思佳客，梦魂香，高山流水,醉花阴，伤情怀，下里巴人
妙年历落青云士,人世难逢白鹤身
君宜养玉骨清姿，岁岁乐今朝，坐拥了莺花，小杯酌月当佳寿,我亦疏红尘俗态，程程同古谊，经营些笔墨，大氅怀诗拜美人
天开长乐,人到恒春
大笑出门，从此甘当山水仆,乐观处世，原来亦是圣贤书
考子不匮,先祖是听
给,支
小桥流水渔家院,古涧飞云钓叟矶
钭公金玉作人，光昭斗极,闵子文章冠世，艳炫门庐
东方起东风，东来东顺迎东曦,豪门聚豪杰，豪饮豪酒抒豪情
一仙一鹤，跨白云飞过，笑晴川琉璃璀璨，歌长江烟波浩淼,谁主谁宾？倾醉墨淋漓，再许我八百年狂，更寄之三千阙清
一步领先人独到,三思而后自单纯
开怀共品诗联趣,仗义同投书画缘
藤萝架下讲传奇，牛郎织女,龙凤窗前说神话，玉兔嫦娥
终有一天如梦醒,谁知哪日又冬眠
边月笑平生，三十年南北驱驰，戈横塞外,燕山息战马，八百里关城耸峙，旗展军前
四十年，冥中指引复兴路,百廿载，宇内奔驰觉醒狮
绿水绿山，绿满乾坤增秀色,健男健女，健全体魄振中华
葱茏接地，挺拔盘空，高唤西风冷雨，野烟驿道称髯叟,苍翠连云，逶迤鼓浪，先迎旭日疏星，古柏林中数状元
情通理达心长泰,德教言行志永坚
曲径连绵垂绿柳,危崖耸立挺青松
结庐当在云深处,悟道总归心里边
君骑黄鹤去，俯玉宇琼楼，难抛却千古棋枰，万家灯火,我泛斗槎来，携诗筒画稿，再收拾湖边风月，江上烟花
海阔天空，胸襟宽处乾坤大,风清日朗，眼界高时岁月长
梅开诗瘾重,心静自然凉
水尽山穷心不死,云开雾散志弥坚
心头钤印家山月,笔底沉吟父老情
疏帘半卷微灯外,柴门紧闭腊酒酣
暮雨润青，晚霞泼墨，风吹细柳渔歌唱,朝云浮玉，晓日铺金，烟净重峦鸟语喧
负手逐流幽远去,披星戴月等闲来
寒夜关联常咏叹,霾时煮酒论英雄
八秩数风流，引茶事茶功，科技翻新茶业梦,九天颁锦绣，着闽山闽水，资源造就闽农春
人事诸般皆易散,湖山一梦不曾消
大潮岁岁送春信,明月时时涤我心
闲诗赋得声声好,雅乐韵出款款柔
径僻忽惊黄叶下,饮豪惟恐玉杯干
祈福万民，尔康尔寿,播春四海，亦美亦真
喜鹊登枝，熏风拂柳，禹甸长天同顺遂,红梅吐艳，瑞雪戏春，神州大地共和谐
常怀植蕙心，敢问楚天何以阔,又到招魂日，不知汩水几时休
晴雪满汀，休素储洁,大风卷水，积健为雄
花事频耽，偏爱梅兰菊竹,芸编博览，独钟李杜苏辛
诗侣书朋共经纬,画魂印魄荐轩辕
未可马头觅角,安能猪步当车
水深难上网,路险必回车
蛙鼓鸣天地,月轮碾古今
三阳开泰，骏马奔驰高速路,五谷丰登，凯歌浩荡小康村
三口和谐，三代相亲，光荣证上填幸福,一流服务，一生关爱，优惠卡中保健康
雪掩柴门梅问客,云封归路燕横空
南派北派汇通处,宛陵庐陵今古人
水幽鱼作曲,山静鸟吟诗
不为钱原非易事,太要好也是私心
几枝疏影千秋色,一缕东风万户春
葱兰六月雪,芦荻九秋云
惯看烟云笼世道,闲敲字句度春秋
毛颖传同斗艳,浣花溪独流光
春灿核心增长极，唱时代英雄，风流事业,诗吟梦里乡村画，喜龙舟载富，蛇岁呈祥
灵心堪绝代，揽山水著屐倾怀，才气远非夸一斗,运道不逢时，由性情辞官纵笔，文风早已傲千秋
五洲独秀菊花石,万户永和中国春
如狼如虎,为鬼为蜮
幅巾高议,秘录修真
阳春白雪固然好,盛夏晚风格外欢
终伴碧山侣,浓煎白茗芽
店，纳春夏秋冬福气,门，迎东西南北彩民
孝义流芳，人间有道，因美丽昭彰美丽,春晖送暖，世界无寒，以光明代替光明
百会征联文集雅,六经传世国昌明
科技兴农，年丰民乐歌德政,风光醉我，柳绿桃红映笑颜
风乱扬花一尺雪,鸡声露白五更寒
满地黄花，都是离愁别恨,一分流水，耐烦春去秋来
湖边贺监，海上黄公，仙洞同游皆胜侣,西蜀杜郎，东坡苏老，幕府英雄今几人
陌上花开，小楼连苑起,空亭日暮，明月逐人来
家运每随国运盛,小龙总傍大龙飞
猴急变白薯,猪瘟拱地瓜
登山自见青云志,涉水当拥白浪情
情系中天吟盛世,欢联祖国颂和平
出自井池岩海，杂去精存，如雪是晶防百腐,用于医食农工，形消物化，益民利国献全身
毛毛雨露原从泽,滚滚洪流本向东
爱国济世，其心诚矣，岂止三秦誉满,治水兴农，此善大焉，不惟八惠功成
湘北名村，一院莺花，正宜游屦轻衫，饱览古闾数百,江南胜景，满楼风月，且喜香车宝马，迎来朱履三千
自有意中侣,思逢海底人
一年四季春常在,万紫千红花满园
重九登高齐怀远,中秋赏月张笑天
闲穿绿树寻梅子,静看彩云戏月儿
父老前来消白昼,儿童归去话黄昏
中间无人不欺心，做许多坏事，但说诵经可悔过,皇天有时定着眼，遇这些恶徒，就是敬神也降灾
百货风行，组织经纶生财有道,万商云集，纷披锦乡为章于天
十载住天童，恒以诗歌传密印,一朝生佛国，永随观势证圆通
胸怀壮志酬家国,心铸中坚护庶民
云外轩窗通早景,门前梅柳烂春辉
雅士会春城，联蕾心花同灿烂,群贤扬国粹，文坛艺苑共辉煌
春开杏眼临流水,命遇桃花在旅途
师生上下新扶手,吃住进出大礼堂
绝对难联手,奇诗妙赋人
顾盼风情，佳人一笑三春暖,遥知雨意，浪子开怀四季留
羲陵晚照，千载氤氲循古道,春临相梓，万里祥风总惠民
家国关心，事业关情，心系情连四海,秉诚筑梦，以和筑善，梦圆善治九州
古寺绕慈云，看山定水流，有塘陷地证因果,福城开觉路，听象鸣狮吼，诸佛渡人转法轮
未定归期先遣雁,欲平心事独看山
师友肯临容膝地,儿孙莫负等闲身
梅雪邀诗，不知春意谁先领,江河润墨，孰料华章风已书
随遇而安人喜乐,无为以治世和平
高低莫论长和短,好坏何妨亲与疏
径树荫隔草舍外,篱花香透画堂中
何如海日生残夜,且放春心入醉乡
日在东，月在西，天上生成明字,子居右，女居左，世间配定好人
梦里吟诗，梦境总随诗境至,花间饮酒，花香时伴酒香飞
泔水生涯偏富态,慈航普度顺天心
前世冤缘，为人作伐操戈向,浮云诡谲，寡义失仪砍乂飞
醉卧苍山同月老,闲斟醪酒共云悠
晨曦旖旎照天壶，壶泛佛光添福祉,湄水蜿蜒巡县邑，邑藏易理献义泉
高义迈等论，十载飘然绳检外,大雅何寥阔？万里写入胸怀间
烂醉小天地,狂吟空古今
得意青山须问酒,相思明月总吟诗
莺传春信，杏描眼，桃抹腮，柳舒眉，春姑摆宴群英会,鹄壮河声，风抚弦，雷挝鼓，山顾曲，河伯领歌万籁鸣
民富国强新盛世,风清气正大中华
绝顶凌云，猿声起处秋山小,深渊荡雾，瀑雨停时涧水枯
情窦初开焉可锁,芳名久仰早倾心
文宿中山、鼎兴文运,昌明华夏、汇集昌言
玉宇琼楼吉祥地,流言蜚语苦命人
生男非养子,知己可交心
知天知地无知己,识面识人难识心
遗风凝翠千年道,化雨滋兰六艺门
五位同臻，诗画涌潮，幸福已圆三代梦,八条共举，楹联张户，和谐更上一层楼
心宽勿嫌居室小,身安何用积金多
月挂柳梢垂柳静,雪压梅瓣腊梅黄
秋高正好追云鹤,气爽恰宜登泰峰
把酒言歌空畅想,临江叹月枉相思
屋边环翠竹,窗外即青山
雪融春意闹,林醒鸟声喧
红叶题诗谁负重,黄耳送信陆怀亲
花溪绕舍窗摇柳,竹案横琴风掸尘
一纸退强兵，见先生忧乐在怀，忠肝义胆,千秋扬盛誉，留佳作光芒射斗，警世醒人
忆童年，少医缺药，疾病缠身差一死,看今日，红颜皓首，诗联兴教乐三生
道东溢彩，漳北流光，迎主席亲临，百里河山妆盛景,棉海浮银，粮仓积富，看成安崛起，三旬改革著哄篇
天下归一统,佛家不二门
霜风一夜秋零落,雾雨千山月寂寥
雨打秋窗惊烛泪,风摇竹影梦正哭
雨最无情，敲窗哪管回乡梦,云何快意，托月尤存挂斗心
虎福兔喜年年乐,民富国强处处春
恐逸居无教，遗世俗忧，宜行强迫,得英才作育，为天下乐，敢惮勤劳
唯有真情能入梦,若无雅意怎成诗
孤山梅下吟魂冷,五丈原中论阵寒
夜至春敲天乍暖,晨投花绽地尤香
空有书山难种树,哪知学海不藏鱼
玉龙展臂金梅笑,清水扬波碧浪飞
柳岸闲行春扑面,桃园细赏韵盈心
返璞归真，至尊至上神仙逸,怀仁抱德，不忮不求天地宽
一溪风月逐碧水,满目桃花笑红颜
领悟凭心，谢您倾注千般爱,沟通用手，为我打开一扇窗
白手起家，返乡创业，大爱布春风，龙河激浪惊桑梓,青年得志，辟地开天，雄心兴纸企，商海探骊折桂枝
横箫客立斜阳外,把酒人听晚籁中
飞花独去寻秋月,落叶无边瘦柳风
十载联都堪笑慰,满屏凤彩好流连
雪花缥缈温柔在,乔木葳蕤挺拔生
熟女,宅男
腰鼓催春，阵阵铿锵传正气,秧歌点赞，声声宛转荡清风
取九州四海财宝,得万紫千红春光
若是谈情能果腹,何须干活去劳神
山青，山青，山山青，山山山青，青山青,对联，对联，对对联，对对对联，联对联
一尘不染惟忘我,万事皆空笃尊佛
开落何由己,张驰自在心
比试锋芒，他日华山仍论剑,吟哦风月，今宵柳荫正临窗
横窗枝又绿,照壁日方红
伟业著春秋，治国安民，善政迄今光史册,飞霞映馆宇，雄才良相，高风自古壮神州
朱子传经，郑藩举义，藉千百年天地涵濡，蕴育海都灵气,神工化境，妙笔点睛，看几万顷园林集萃，妆成瑶苑景观
两三烟树江村隐,远近人家鸥鹭飞
书室深潜，时至清芳飞桂树，焚香烹茶,芸窗高卧，春来有梦到梅边，种竹栽花
剔透玲珑，万年喜见珍珠丽,晶莹饱满，千里欣闻贡米香
疏枝傲骨风摇影,侠肝义胆书美名
猴驾祥云沽美酒,鸡讴雅曲醉东风
万幸真万幸,一般又一般
不是悲秋方咏月,只缘醉酒倍思乡
舟车指南誉广宇，华夏尊轩辕，赫赫始祖功耀日,卫星拱北啸长空，神州育赤子，芸芸胄裔志凌云
利用,勾结
杏雨一帘遥在望,桃花满树近却悲
文章岂能解荣辱,富贵从来有盛衰
桂子花开，香飘十里传真意,蕊黄蕾绽，芳誉千乡送吉祥
伟志雄心讴彦士,高风亮节赞贤人
俏柳依山山怀柳,画船戏水水抱船
闻香能沁肺,入口便提神
熏风又绿东江水,紫燕新啼南国春
任他汉武秦皇，若到舜乡皆俯首,说甚先贤后俊，会当圣地俱倾心
庭前临摹，墨吐芳香流笔底,寂寞良久，终于等得梦君来
此日安能姑息,本人不怕汉奸
莫愁镜泊,玄武阳澄
泉涌千年古井贡,情钟一味老白干
点石成金求妙手,泼墨作画显高人
浩气归太虚，与清廷反省匡天下,忠魂在华夏，教后代长思定九州
笔底渐无跌荡句,诗间多见缱绻词
冬儿，寒友,土特，热门
琴瑟在御,笙磐同声
春来无事敲平仄,花落有心赋短长
明月清辉长作客,华堂紫燕又逢春
可歌，孺子今宵穷为士,尤忆，霸王当日痛别姬
凭笔下三分硬瘦,泻胸中一段疏狂
地老天荒浮世绘,日新月异鹤梳翎
万里乡关愁不尽,一江春水向东流
续盛唐气象,扬大汉雄风
芦雪纷纷秋晚照,云霞灿灿夏晨光
烟花送富新年喜,爆竹炸响旧岁除
天涯海角春光美,南国北疆喜气盈
茶品人生味,酒催兴趣浓
春入蓬门添百福,人逢盛世乐千祥
夙志得成，蒙昔日椿萱庭训,慈容宛在，受千秋俎豆馨香
山古林幽花寂寂,径斜溪浅雨丝丝
气魄靠承传，强军富国千秋梦,精神凭德育，和谐友善万家春
篱边陶靖节,社里白香山
公顶拓新天，逸悠胜景初分秀,惠阳多绿幕，晴雨琼林互竞娇
大漠路迢迢，此别何期？恰雨湿阳关，堪怜新柳伤心色,小城春寂寂，相逢纵有，已尘封客舍，怕忆故人劝酒声
金蛇起舞，银雪翻飞，千秋通化千秋美,祥光普照，瑞气蒸腾，万里吉林万里新
天映太阳岛,春拂冰雪城
絮雪齐飞终等到,风云际会一时来
人登小筑蹙娥眉，独怜幽草,月叩西窗惊美梦，谁煮黄粱
国艺强人承妙术,硕才雅士继岐黄
步入虎年，万户迎祥，粤调声声扬喜气,情倾亚运，五羊含笑，花城处处漾春风
永行善事享高寿,昌运闲情乐有年
云破月来，清光一片,风流影动，丽色三分
姬将蜡烛烧明月,人隔珠帘看落花
鲤鱼打挺凭空跃,白鹤高探拗步翻
笔耕一亩诗云地,窗纳满园锦绣春
顾客,商家
从小知大,受重若轻
梅雪迎春，万里东风兴大业,城乡报捷，百年佳绩绘宏图
向迷离世界，扬骄傲口碑，独留浩气云天外,凭旷远胸怀，铸厚实哲道，劲启长歌理想中
酒中得意狂泼墨,属下有情直投怀
竹玉玨玉竹,茶山出山茶
海国水天清，渔歌互答迎新岁,云岩花木秀，莺语和鸣报瑞年
好儿男，男儿好，男好女尤好,宽带网，网带宽，网宽心更宽
灵邑风光尤壮丽,人民岁月更峥嵘
身微知自重,貌美不张扬
春有停云风致远,心存曲径意通幽
往事催秋老,红尘炼春深
枫红秋色暖,桂白夜光寒
党放春晖，润柳葳蕤诗万卷,科腾经济，兴州壮丽画千张
门庭千载福,山水一番新
画舟兰棹欲破浪,健笔高科早绝伦
结庐在人境,斗酒聚比邻
水墨东江，笔走龙蛇书福字,山歌南国，人邀莺燕唱春天
尘心难洗净,曲径可通幽
琴曲尽流山水调,朝堂难辨是非词
官员清正，政府清廉，法治清明，民安国泰和谐雨,生病有医，退休有养，居家有住，水碧天蓝温暖风
大难兴邦，八年浴血，百族一致驱恶鬼,中华圆梦，四海归心，五星万代固长城
观世态心如止水,纵江山意若浮云
纵有余香沾素袖,岂无明月系行云
生来夙性贪佳句,老而痴情恋对联
故作姿态，自诩神仙闻屁颂,妄称高人，实则怪丑废毒功
长河流岁月,老汉忆当年
醉翁穿璧,蚂蚁上墙
朵朵梅香醉月,波波雪浪翻云
缥缈三壶为梦境,玲珑一室是心斋
红叶题书，宫深怎挡相思意,飞雁传信，路遥难敌恋情追
才学两兼营，偶然游刃文丛，竟起春风宜坐沐,狂狷皆所嗜，未得抽身尘海，已留高格供仰钻
冬索春敷，胜日寻芳，枝头非是故年秀,内衣外著，今朝献媚，身上正穿时尚装
但得倾诚，馆借春风送绿,何需赴宴？客因浏水蒸香
春分天下雨,门外汉书联
龙归碧海波涛舞,蛇到青山草木新
目水终成泪,山人偶遇仙
生来天上九仙骨,不羡人间一品衣
春满天涯，今时不见蛮荒地,魂惊海角，此处难容腐败官
五福六顺三生幸,万紫千红众物春
居虞山胜地，又有好园林，上奉母欢，下课儿读,忆吴苑旧游，可为长太息，既悲君逝，更念吾衰
文坛泰斗，音容宛在,历史丰碑，德艺长彪
平原土沃，果嫩瓜甜，岸芷汀兰铺彩锦,沙渚景幽，江清月近，渔歌粤韵弄扁舟
奥运五环连世界,神州十亿振雄风
无力卷帘春懒困,有心漱玉笔难题
高天挂练,谷涧悬松
有意无心无不可,真情实爱实非常
风拂嫩柳青丝秀,雨点清荷粉泪香
将领守台驱法寇,骚人咏赋比唐诗
建设文明出大力,忠于社稷献衷心
空杯可纳千江水,双袖堪容四海风
青春梦里常回首,末日心中不自由
丽日和风，青春永驻,祥云瑞雪，往事开怀
铁轨含情，强国圣策开新境,金风拂面，惠众游龙畅古都
树核心价值观，将廉政春帆鼓满,挥华夏文明笔，把武川大梦画圆
发展争春，开放迎春，春驻三门频引凤,改革逐浪，振兴破浪，浪掀九曲再腾龙
万里行舟家是岸,百年回首梦如烟
恭喜老乡当斑竹,飘扬五斗上顶杆
一味难求，天下本无后悔药,千金不买，书中自有济世方
虎踞龙盘生甲地,蛟腾凤起兆蜚声
黄英绽蕊金秋至,赤焰升空白昼来
胡搅蛮缠八卦掌,凌空倒立一指禅
十步之内有芳草,广厦所育皆英才
生前忠节，似松凌霜雪,死后高风，如水照青天
问山岂有通天路,寻药孰无快婿门
淡紫入幽怀，几缕情丝，化作芳香熏月梦,深蓝出旷野，一程等候，开成花海待诗心
慈悲为本，渡众生难堪誓愿，即此佛心，离无离有,清净至诚，过尘世不尽虚空，如来觉性，知是知非
偶然风惊柳，一帘月影当头落,刹那电劈云，万朵雨花齐天飞
金牛辞旧，携凯歌而去,乳虎迎春，带捷报新来
斜阳脉脉不得语，谢春尺寸，一任池前芳草碧,流水潺潺似阅知，寄我鱼书，未容杯里故人疏
柳暗花明，绿卷春光红不让,鞭扬蹄奋，人乘晓色马争先
空弦落羽雁惊处,静墨寒烟梅醉时
骏骥扬蹄奔富路,玉羊追梦进康庄
马步生风堪入画,羊毫绘彩喜迎春
合辑百越，功著岭南，经秦历汉兴宏业,同仰千秋，梦萦河北，尚武崇文纪盛名
梦萦相公塔，千年血脉连乡梓,情系武龙山，一瓣心香报祖恩
叹其间，顷刻已成千秋事业,惊此地，厘分能容万里江山
不从这里来，焉知自在光明处,更于何方去？染着拖泥带水心
时光待我该多好,过往成诗已惘然
楼头细雨聊今古,山顶苍松傲雪霜
唢呐一声，引来众鸟同朝凤,祥城十里，归去余音犹醉人
一湾碧水渔村小,万里青山佛寺幽
冷气,热情
霞飞福宝留花影,风过泸州带酒香
安徐而神静,惟颖则气华
思亲重九孤单对,看好唯一洒脱仙
花香诗境界,帽绿妙姻缘
一言契约许山水,两袖清风淡利名
天宇共迎春，日月张灯霞结彩,地球同祝福，江河把酒岳称觞
联艺噪名城，记从彭国风歌，早作龙吟抒壮志,楹文交胜友，愿借蜀天云锦，长书雁字贺新知
苦乐皆当舍,始终不落空
山列千重静,溪流一派清
闲种山腰云半亩,漫掬泉眼月一轮
光风霁月常思德,映日辉星永怀周
春暖花开，李白桃红来北岛,宵歌柳弄，灯明酒醉入东京
葱茏一架诗成蔓,妩媚几枝春染眉
故君倏易新君，定率他十族冤魂，踪寻老佛,篡统总殊继统，还仗尔千秋公论，气夺无凶
强辞夺理,竖子成名
春日喝杯鲜牛奶,新夜奏响马头琴
扯蛋出灵感,平胸也顺溜
姹紫嫣红，喜名园集四时美景,吟青挹翠，寻胜境忆三代英贤
北国风光篇上刻,金陵春梦笔中留
卷帘听山川，濑水西东因何事,登楼览风月，昌州今古谁无知
水有远湖树,人今何处船
谩夸书剑无知己,不得溪山养性情
思革命渊源，箫韶舞凤依稀在,访重华遗迹，滴水清泉万古流
金殿重辉，看鸟革恽飞，势壮山河维社稷,帝容复整，仰龙章风姿，光同日月炳乾坤
一派胡言无所谓,通篇白字有谁知
生前作乐，生前作恶,死有余钱，死有余辜
人生若只如初见,风景依稀似去年
夙世尘劫，死是第几道禅关，佛曰不可说,春灯寂寥，我痛数十年胜友，魂兮莫奈何
满苑芬芳盈陋室,孤家寂寞品浓茶
雪漫山间道,风流陌上春
一杵疏钟和晚籁,四围老树立斜阳
热血朝阳，纵马珠河，千里江山书尚志,丹心黑水，挥刀日寇，万行林海唱英雄
仗义生财尊商圣,剖心为国见孤忠
闲听燕语斜阳外,醉卧桃花古道边
以石代土，变耜为刀，方寸田畴耕锦绣,把地当师，将天作范，大千世界化神奇
仙鹤暂停，缑山谢去,天花一坠，众鸟衔飞
山翁石上抱云睡,樵子林边担月归
才高而敛，位显而谦，从太学以逮容台，五十年来，不更儒素,身敬则强，心仁则寿，数良辰刚逢大耋，八千春好，定见河清
行遵正道能师古,止守中庸畅学风
早起烧黑炭,晚睡数黄铜
百派清流荣古蜀,千年银杏护高庞
蝶城轫发，大成雨，榜山风，八十如歌岁月，传百年薪火,杏坛春晓，赤子心，蜡炬情，万千有志师生，续一脉人文
惊蛰起潜龙，两会拧开加压阀,清明匡盛世，群英进献减污图
细流添海量,巨笔写鸿篇
悟禅关面壁功深，道集九华红雪丽,成佛祖心台妙印，风师百世白衣尊
纵使先生能一石,更邀明月作三人
马屁中情局,牛津大学堂
祥麟避网虽山野,晓月当帘挂玉弓
楼上楼下电灯电话，斯言隔世,鸟来鸟飞阳落阳升，景象自然
公毕方将私治,师严然后道尊
烟台临海蓬莱近,曲阜依山岱岳高
怀大生天福,脚长到谢家
紫气东来早，古镇美景迎盛世,西递接祥瑞，石路喜联贺新春
苍山淡月千秋雪,高节清风满目春
独倚青冥，伥望八荒尽风雨,闲寻黄鹤，空盼千载问乱云
鹊欢梅绽，黑白映雪丛中笑,鸟语花香，红绿扶春垄上行
书香醉倒窗前月,铜臭熏疯世上人
助德泽，以佑斯民，功符六顺,将鼓鼙，用昭前烈，威振三军
花信春来写,风情月自窥
共向花前图瑞胜,还从物外起田园
赏诗海饮半窗月,悦画清吟一馆花
古香洪范池，张稷若村鞭指巷,新异子房洞，王舍人店锦屏山
不向千年夸老树,但求一刻观美人
低吟十六载，莺歌燕舞,浅唱二八春，虎跃龙腾
欲心难厌如溪壑,财物易尽若涌卮
一年一度，四时好雨知时节,三夏三秋，五谷丰登谢谷人
新春马跃中国梦,丰岁诗吟惠政歌
登山问道听蝉语,下岗摆摊看客情
书风通道义,墨海见情素
居世出尘，依稀彭泽陶元亮,安贫乐道，仿佛稽山贺李真
朱笔点睛，喜看龙腾千里浪,白沙聚首，重温虎啸万丛山
浆里人文，机中仁爱，堪问一刀知厚重,何言纸薄？总感情深，特从百业见乾坤
氨水,石灰
金萃峰堂，山映岚光浮紫气,城苏狮穴，门迎晓日霭卿云
细雨网春花片片,清泉激石草丛丛
非经意处，来无凭，去无凭，此身只共长流水,是豁然间，灯亦亮，心亦亮，一瞬开成不夜天
谎话从来难出口,真人自古不虚言
沼气进家，暖气登堂，福气盈楼，三农气顺擎鹏翼,春风调色，民风试笔，村风溢彩，八面风和振虎威
室内声屏观世界,楼前竹柏写人生
友邻善远，诚心生信义,克己存仁，广德播芳馨
安得广厦？人人乐天，白居易,但有包公，个个青莲，李长庚
喜鹊登枝传喜信,哀鸿在野报哀声
俯仰重霄，月到兰山龙首舞,沧桑几度，风吹丝路马蹄飞
礼尚往来，圣贤若此,情分深厚，今古皆然
擂上为谁？三尺榻邀徐孺子,台前亮相，群英会奏大风歌
妙笔轻挥锋若剑,芳心一动气如兰
壮举出天然，临险何曾萌退意,娇躯承大爱，从今更要敬先生
携一家大小来，陶然世博风、文明景,觅万国高新去，遂了爱妻梦、慈母心
登东方高塔、杨浦虹桥，放眼瞻五环圣火,听沪上评弹、江南丝竹，纵情唱四海健儿
壶中日月方长，斗仰南天，丹药共延千岁寿,花外溪山如许，坛留东郭，白云常护一庭春
莲无芯不苦,梨有核却酸
拾金不昧人人赞,见义勇为处处钦
坛里无余瞎对对,池中有荷藕连连
刀下可传神，不用点睛龙破壁,坊间堪寄梦，一经设境凤吟春
下笔起万程风云，宅心已是仙境,飞身出千层世界，遗爱犹在人寰
墨彩泼开篱畔菊,庭寒闲赏雪中梅
风摇桃树秀花舞,镜揽乌云点绛唇
地通南北，百年民俗惊环宇,桥贯东西，千里碧波连洞庭
防腐休论官大小,倡廉莫依位高低
良将,健儿
鼓舞太极，笛醉墨香，根植传统繁花放,诗扬古镇，联歌名序，志在神州绮梦圆
隋朝俸建四门塔,唐代诚植九顶松
盛世同圆中国梦,丹心共铸检察魂
镇静,惊慌
咏柳方知风在和,浮天未觉水将平
有辱斯文扫地,无关乃武含冤
今宵明月空余梦,昨日清风尚有痕
兴建新居开伟业,龙腾华夏展宏图
扫时僧、读时儒，每到斯楼心已定,入者相、坐者触，若拈此叶梦不空
寂寞桐棺，鬼雄无语磷空碧,摩挲石柱，夜雨伤神鹤不归
松伸龙爪擒云鹤,月挂神勾钓水蛇
清廉风染千山绿,勤政花开四海春
道以德宏，三个代表传真谛,礼为根本，一堂教友乐天伦
春色不羞红杏卖,日光照旧绿柳黄
灵爽在天，必誓度浙水众生，永无冤狱,精忠报国，共传闻朱仙一战，几复中原
猴王送福腾云至,国策顺心追梦飞
雁塔寂无名，说什么芸窗清冷，门第荣光，皆付与坦然一笑,湖山合有主，聊凭这竹笠成吟，闲情偶寄，休问他身外何如
烟波飘渺，一枕悬棺江渚上,岁月蹉跎，千年古镇世尘中
辛苦作何求？看九岭绵延，万载争辉丰顶日,光明为己任，喜千家灯火，一珠高引锦江潮
名士三难传政事,先生一语授琴师
剑学千门，书观六代,岸止磐石，溪惟小船
三思过有限,一笑益无垠
测土配方，高效增产利国,科学种田，节本致富为民
